Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Assistências,Golos+Assistências,ConduçõesProgressivas,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,PassesChave,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos,GolosSofridos,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,PassesProgressivos
Gil Vicente FC,34,8,10,16,34,-13,34,42.1,-8.3,20,53,451.0,7,20.6,68.0,128.0,44.0,-2.0,36.0,325.0,95.0,29.2,33.8,80.6,244400.0,82726.0,20.0,246.0,16155.0,55.0,115.0,578.0,17.0,54.0,1.59,539.0,310.0,357.0,849.0,868.0,50.6,19987.0,451.0,1091.0,-13.0,-0.38,-8.3,-0.24,48.8,2024-2025,33.0,47,24.6,30.7,1100.0
Nacional,34,9,7,18,32,-18,34,48.2,-10.4,21,52,466.0,8,23.5,73.7,156.0,51.7,1.7,26.0,451.0,129.0,28.6,37.8,74.6,194690.0,74456.0,21.0,333.0,13055.0,46.0,165.0,779.0,22.91,52.0,1.53,555.0,287.0,387.0,842.0,878.0,47.5,17042.0,466.0,955.0,-18.0,-0.53,-10.4,-0.31,49.9,2024-2025,31.0,50,25.6,33.9,960.0
Estrela,34,7,8,19,24,-26,29,45.7,-16.3,16,39,354.0,7,20.6,69.8,149.0,49.1,1.1,30.0,327.0,89.0,27.2,29.4,73.3,180030.0,72137.0,16.0,227.0,12566.0,59.0,86.0,539.0,15.85,41.0,1.21,613.0,306.0,388.0,919.0,969.0,44.8,16764.0,354.0,863.0,-26.0,-0.76,-16.3,-0.48,48.1,2024-2025,23.0,50,18.8,26.3,875.0
AVS Futebol,34,5,12,17,25,-35,27,55.0,-23.3,17,42,388.0,8,23.5,67.4,175.0,60.5,1.5,24.0,341.0,87.0,25.5,31.7,75.7,191661.0,76821.0,17.0,242.0,13626.0,28.0,69.0,594.0,17.47,44.0,1.29,565.0,303.0,390.0,868.0,929.0,44.0,17581.0,388.0,863.0,-35.0,-1.03,-23.3,-0.68,54.6,2024-2025,25.0,60,22.0,27.7,877.0
Farense,34,6,9,19,25,-21,27,51.4,-20.9,18,43,354.0,7,20.6,72.8,147.0,47.2,3.2,25.0,384.0,114.0,29.7,30.5,70.1,170392.0,72021.0,18.0,264.0,11632.0,20.0,107.0,641.0,18.85,43.0,1.26,589.0,327.0,390.0,916.0,992.0,41.3,15786.0,354.0,866.0,-21.0,-0.62,-20.9,-0.61,48.7,2024-2025,25.0,46,21.4,28.2,877.0
Boavista,34,6,6,22,24,-35,24,56.2,-24.0,8,31,264.0,7,20.6,69.4,173.0,57.1,1.1,25.0,345.0,102.0,29.6,32.1,71.3,163678.0,69336.0,8.0,229.0,12251.0,40.0,92.0,587.0,17.26,33.0,0.97,565.0,313.0,336.0,878.0,843.0,40.3,15990.0,264.0,880.0,-35.0,-1.03,-24.0,-0.71,49.1,2024-2025,23.0,59,17.5,26.9,886.0
Sporting CP,34,29,3,2,96,67,90,26.4,46.2,67,160,719.0,16,47.1,68.4,79.0,24.4,-4.6,18.0,555.0,211.0,38.0,72.5,84.1,275295.0,97248.0,67.0,431.0,19452.0,63.0,77.0,985.0,28.97,159.0,4.68,562.0,216.0,281.0,778.0,420.0,59.1,22840.0,719.0,1647.0,67.0,1.97,46.2,1.36,54.1,2023-2024,93.0,29,55.5,69.2,1669.0
Benfica,34,25,5,4,77,49,80,32.1,45.0,59,135,807.0,16,47.1,78.8,113.0,35.5,7.5,21.0,581.0,231.0,39.8,77.0,83.8,289741.0,101234.0,59.0,455.0,20589.0,91.0,138.0,1046.0,30.76,132.0,3.88,657.0,298.0,397.0,955.0,457.0,59.1,24432.0,807.0,1868.0,49.0,1.44,45.0,1.32,51.6,2023-2024,76.0,28,59.0,72.3,1880.0
Porto,34,22,6,6,63,36,72,28.5,36.0,46,108,819.0,13,38.2,71.6,81.0,26.1,1.1,57.0,563.0,177.0,31.4,64.5,83.3,293647.0,97602.0,46.0,430.0,19449.0,96.0,102.0,1026.0,30.18,110.0,3.24,484.0,215.0,308.0,699.0,440.0,63.1,22988.0,819.0,1856.0,36.0,1.06,36.0,1.06,52.8,2023-2024,62.0,27,46.8,58.0,1869.0
Braga,34,21,5,8,71,21,68,47.7,15.9,49,119,601.0,6,17.6,65.4,127.0,46.4,-1.6,72.0,545.0,202.0,37.1,63.7,81.7,280854.0,100241.0,49.0,422.0,18817.0,46.0,108.0,992.0,29.18,119.0,3.5,518.0,310.0,328.0,828.0,593.0,56.8,22609.0,601.0,1664.0,21.0,0.62,15.9,0.47,50.3,2023-2024,70.0,50,48.1,59.7,1678.0
