Equipa,%DeDuelosAereosGanhos
Arouca,48.8
AVS Futebol,54.6
Benfica,55.4
Boavista,49.1
Braga,48.3
Casa Pia,49.7
Estoril,47.4
Estrela,48.1
Famalicão,52.4
Farense,48.7
Gil Vicente FC,48.8
Moreirense,47.2
Nacional,49.9
Porto,50.7
Rio Ave,48.0
Santa Clara,51.5
Sporting CP,53.1
Vitória,49.8
