Equipa,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea
Arouca,46.1,-0.9,50
AVS Futebol,60.5,1.5,24
Benfica,34.5,6.5,19
Boavista,57.1,1.1,25
Braga,31.0,2.0,59
Casa Pia,45.4,2.4,27
Estoril,56.1,3.1,56
Estrela,49.1,1.1,30
Famalicão,47.0,9.0,27
Farense,47.2,3.2,25
Gil Vicente FC,44.0,-2.0,36
Moreirense,46.7,-3.3,30
Nacional,51.7,1.7,26
Porto,32.5,3.5,53
Rio Ave,53.1,3.1,29
Santa Clara,29.1,-2.9,27
Sporting CP,24.2,-0.8,36
Vitória,32.9,-4.1,35
