Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,GolosSofridos_x,DiferençaDeGolos,Pontos,GolosEsperados_x,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Golos_x,Assistências,Golos+Assistências,GolosEsperados_y,GolosEsperadosAssistidos_x,GolosEsperadosSemPenáltis_x,ConduçõesProgressivas,PassesProgressivos_x,GolosSofridos_y,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Golos_y,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,GolosEsperadosSemPenáltis_y,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,GolosEsperadosAssistidos_y,PassesChave,PassesProgressivos_y,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos
Sporting CP,34,23,5,6,72,33,39,74,61.3,37.5,23.8,70.0,44,114,61.3,39.5,50.1,573.0,1508.0,33,10,29.4,73.9,119.0,37.0,4.0,25.0,70.0,537.0,188.0,35.0,61.3,50.1,78.3,245845.0,96637.0,44.0,39.5,405.0,1508.0,16713.0,18.0,134.0,984.0,28.94,128.0,3.76,568.0,399.0,331.0,967.0,570.0,56.6,20134.0,573.0,1486.0,39.0,1.15,23.8,0.7,53.4,2018-2019,
Braga,34,21,4,9,56,37,19,67,51.5,39.1,12.4,55.0,38,93,51.5,37.1,46.0,626.0,1466.0,37,16,47.1,74.8,123.0,39.7,2.7,23.0,55.0,476.0,157.0,33.0,51.5,46.0,75.9,231845.0,89992.0,38.0,37.1,354.0,1466.0,16018.0,25.0,93.0,844.0,24.82,95.0,2.79,615.0,401.0,375.0,1016.0,698.0,53.6,19495.0,626.0,1459.0,19.0,0.56,12.4,0.37,51.5,2018-2019,
Vitória,34,15,7,12,46,34,12,52,49.4,37.2,12.2,45.0,30,75,49.4,33.1,41.5,583.0,1258.0,34,10,29.4,79.3,150.0,43.1,9.1,20.0,45.0,434.0,153.0,35.3,49.4,41.5,76.7,226423.0,85714.0,30.0,33.1,314.0,1258.0,15566.0,14.0,161.0,768.0,22.59,77.0,2.26,514.0,354.0,328.0,868.0,738.0,52.1,19106.0,583.0,1251.0,12.0,0.35,12.2,0.36,47.4,2018-2019,
Moreirense,34,16,4,14,39,44,-5,52,36.0,48.0,-12.1,38.0,27,65,36.0,25.8,35.2,555.0,1359.0,44,9,26.5,69.7,132.0,45.6,1.6,48.0,38.0,432.0,138.0,31.9,36.0,35.2,72.5,204336.0,88948.0,27.0,25.8,300.0,1359.0,14371.0,15.0,123.0,728.0,21.41,66.0,1.94,562.0,435.0,317.0,997.0,690.0,48.2,17826.0,555.0,1348.0,-5.0,-0.15,-12.1,-0.35,52.0,2018-2019,
Rio Ave,34,12,9,13,50,52,-2,45,45.5,56.3,-10.7,49.0,30,79,45.5,32.0,41.7,544.0,1198.0,52,5,14.7,74.2,163.0,54.4,3.4,35.0,49.0,374.0,128.0,34.2,45.5,41.7,78.5,235565.0,88227.0,30.0,32.0,263.0,1198.0,15487.0,26.0,158.0,646.0,19.0,84.0,2.47,478.0,353.0,344.0,831.0,821.0,52.9,19023.0,544.0,1189.0,-2.0,-0.06,-10.7,-0.32,49.5,2018-2019,
Boavista,34,13,5,16,34,40,-6,44,42.4,50.7,-8.2,33.0,24,57,42.4,28.3,39.3,337.0,880.0,40,14,41.2,78.6,159.0,47.7,9.7,20.0,33.0,391.0,111.0,28.4,42.4,39.3,69.2,166223.0,74404.0,24.0,28.3,255.0,880.0,12104.0,11.0,88.0,664.0,19.53,57.0,1.68,548.0,484.0,347.0,1032.0,991.0,44.9,15916.0,337.0,868.0,-6.0,-0.18,-8.2,-0.24,49.4,2018-2019,
B-SAD,34,10,13,11,42,51,-9,43,39.9,51.9,-12.0,41.0,20,61,39.9,26.4,35.2,538.0,982.0,51,13,38.2,71.5,151.0,54.7,5.7,31.0,41.0,343.0,115.0,33.5,39.9,35.2,77.6,244308.0,87888.0,20.0,26.4,229.0,982.0,15951.0,35.0,176.0,583.0,17.15,65.0,1.91,511.0,455.0,335.0,966.0,789.0,52.6,19414.0,538.0,972.0,-9.0,-0.26,-12.0,-0.35,49.8,2018-2019,
Santa Clara,34,11,9,14,43,45,-2,42,41.1,49.2,-8.2,40.0,26,66,41.1,27.9,37.1,431.0,1030.0,45,9,26.5,76.5,153.0,49.7,4.7,21.0,40.0,370.0,118.0,31.9,41.1,37.1,71.3,189117.0,77850.0,26.0,27.9,242.0,1030.0,13390.0,9.0,122.0,627.0,18.44,65.0,1.91,472.0,440.0,370.0,912.0,796.0,47.4,16874.0,431.0,1019.0,-2.0,-0.06,-8.2,-0.24,47.2,2018-2019,
Marítimo,34,12,3,19,26,44,-18,39,31.1,56.2,-25.1,26.0,15,41,31.1,21.4,27.9,448.0,976.0,44,10,29.4,77.4,155.0,49.2,6.2,19.0,26.0,333.0,89.0,26.7,31.1,27.9,71.5,192201.0,78222.0,15.0,21.4,234.0,976.0,13448.0,12.0,133.0,573.0,16.85,44.0,1.29,541.0,436.0,357.0,977.0,860.0,45.8,17042.0,448.0,967.0,-18.0,-0.53,-25.1,-0.74,48.2,2018-2019,
Portimonense,34,11,6,17,44,59,-15,39,48.7,47.4,1.3,41.0,28,69,48.7,33.2,44.0,555.0,1204.0,59,5,14.7,65.8,158.0,53.4,-3.6,27.0,41.0,458.0,164.0,35.8,48.7,44.0,73.8,209098.0,88334.0,28.0,33.2,332.0,1204.0,14240.0,19.0,118.0,784.0,23.06,69.0,2.03,534.0,405.0,324.0,939.0,761.0,48.8,17971.0,555.0,1191.0,-15.0,-0.44,1.3,0.04,50.8,2018-2019,
