Equipa,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo
Arouca,15955,70,76
AVS Futebol,13626,28,69
Benfica,18762,85,167
Boavista,12251,40,92
Braga,18810,49,97
Casa Pia,13791,37,112
Estoril,15103,51,86
Estrela,12566,59,86
Famalicão,15101,28,161
Farense,11632,20,107
Gil Vicente FC,16155,55,115
Moreirense,14487,25,79
Nacional,13055,46,165
Porto,19080,75,100
Rio Ave,14661,40,95
Santa Clara,13021,39,96
Sporting CP,19150,66,94
Vitória,17462,50,102
